Product Name,Description,Price,List Price,Manufacturer,Brand,SKU,MPN,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Image 1,Image 2,Image 3,Image 4
BikeMaster Rear Left Turn Signal for GSX-R1100 1993-1994,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263086/-1515,BM-15329,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/88/8844/8844438/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R1100 1993-1994,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263086/-1516,BM-15330,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/88/8844/8844438/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R750 1993,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263086/-1517,BM-15331,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/88/8844/8844438/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R750 1993,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263086/-1518,BM-15332,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/88/8844/8844438/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GS1000 1980-1982,Turn signals and lenses are direct O.E.M. replacement.,32.33,40.41,BikeMaster,BikeMaster,263015/-1564,BM-15378,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1004/100421/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GS1000 1980-1982,Turn signals and lenses are direct O.E.M. replacement.,32.33,40.41,BikeMaster,BikeMaster,263015/-1565,BM-15379,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1004/100421/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GS750 1982,Turn signals and lenses are direct O.E.M. replacement.,32.33,40.41,BikeMaster,BikeMaster,263015/-1566,BM-15380,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1004/100421/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GS750 1982,Turn signals and lenses are direct O.E.M. replacement.,32.33,40.41,BikeMaster,BikeMaster,263015/-1567,BM-15381,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1004/100421/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GS750 1980-1981,Turn signals and lenses are direct O.E.M. replacement.,32.33,40.41,BikeMaster,BikeMaster,263015/-1568,BM-15382,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1004/100421/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GS750 1980-1981,Turn signals and lenses are direct O.E.M. replacement.,32.33,40.41,BikeMaster,BikeMaster,263015/-1569,BM-15383,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1004/100421/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GSX-R1100 1993-1994,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263085/-1627,BM-15441,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1006/100697/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GSX-R1100 1993-1994,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263085/-1628,BM-15442,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1006/100697/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GSX-R600 1992-1993,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263085/-1629,BM-15443,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1006/100697/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GSX-R600 1992-1993,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263085/-1630,BM-15444,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1006/100697/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GSX-R750 1993,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263085/-1631,BM-15445,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1006/100697/Zoomed.jpg,,,
BikeMaster Front Left Turn Signal for GSX-R750 1993,Turn signals and lenses are direct O.E.M. replacement.,30.09,37.62,BikeMaster,BikeMaster,263085/-1632,BM-15446,Front Left,,,,,http://dealer.tucker.com/globalassets/images/10/1006/100697/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R1100 1995-1998,Turn signals and lenses are direct O.E.M. replacement.,36.23,45.29,BikeMaster,BikeMaster,263125/-1638,BM-15452,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/10/1008/100844/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R1100 1995-1998,Turn signals and lenses are direct O.E.M. replacement.,36.23,45.29,BikeMaster,BikeMaster,263125/-1639,BM-15453,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/10/1008/100844/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R750 1995,Turn signals and lenses are direct O.E.M. replacement.,36.23,45.29,BikeMaster,BikeMaster,263125/-1640,BM-15454,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/10/1008/100844/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GSX-R750 1995,Turn signals and lenses are direct O.E.M. replacement.,36.23,45.29,BikeMaster,BikeMaster,263125/-1641,BM-15455,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/10/1008/100844/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GS750 1983,Turn signals and lenses are direct O.E.M. replacement.,24.06,30.08,BikeMaster,BikeMaster,263126/-1675,BM-15489,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/10/1003/100376/Zoomed.jpg,,,
BikeMaster Rear Left Turn Signal for GS750 1983,Turn signals and lenses are direct O.E.M. replacement.,24.06,30.08,BikeMaster,BikeMaster,263126/-1676,BM-15490,Rear Left,,,,,http://dealer.tucker.com/globalassets/images/10/1003/100376/Zoomed.jpg,,,
BikeMaster Rear Brake Rotor for CBR600F4 2001-2007,"Manufactured by one of Europe's premier disc brake expert; an O.E.M. manufacturer to many well known brands. Totally integrated manufacturing with control over every aspect of the product, using the latest technology in materials, processes and finishes. The very latest in German aerospace materials and ISO-certified quality management. Laser-cut for accuracy to the ten thousandth of an inch. Utilizes CNC billet-machined technology for accuracy, strength and lighter weight (where applicable). Designed and developed specifically for increased braking ability and longevity. Computer aided design ensures maximum strength and minimum weight. Specially ground to guarantee perfect concentricity and parallelism to prevent warping.  Contour rotors offer an increased edge-surface area for cooling efficiency and excellent clean-out.",99.38,124.22,BikeMaster,BikeMaster,962005/-50,BM-10754,Made in Spain,,,,,http://dealer.tucker.com/globalassets/images/41/4193/4193667/Zoomed.jpg,,,
BikeMaster  Brake Rotor for CBR600F4 2001-2007,"Manufactured by one of Europe's premier disc brake expert; an O.E.M. manufacturer to many well known brands. Totally integrated manufacturing with control over every aspect of the product, using the latest technology in materials, processes and finishes. The very latest in German aerospace materials and ISO-certified quality management. Laser-cut for accuracy to the ten thousandth of an inch. Utilizes CNC billet-machined technology for accuracy, strength and lighter weight (where applicable). Designed and developed specifically for increased braking ability and longevity. Computer aided design ensures maximum strength and minimum weight. Specially ground to guarantee perfect concentricity and parallelism to prevent warping.  Contour rotors offer an increased edge-surface area for cooling efficiency and excellent clean-out.",107.46,134.32,BikeMaster,BikeMaster,962158/-261,BM-10965,Made in Spain,,,,,http://dealer.tucker.com/globalassets/images/41/4193/4193687/Zoomed.jpg,,,
BikeMaster  Brake Rotor for CBR600F4 2001-2007,"Manufactured by one of Europe's premier disc brake expert; an O.E.M. manufacturer to many well known brands. Totally integrated manufacturing with control over every aspect of the product, using the latest technology in materials, processes and finishes. The very latest in German aerospace materials and ISO-certified quality management. Laser-cut for accuracy to the ten thousandth of an inch. Utilizes CNC billet-machined technology for accuracy, strength and lighter weight (where applicable). Designed and developed specifically for increased braking ability and longevity. Computer aided design ensures maximum strength and minimum weight. Specially ground to guarantee perfect concentricity and parallelism to prevent warping.  Contour rotors offer an increased edge-surface area for cooling efficiency and excellent clean-out.",172.09,215.12,BikeMaster,BikeMaster,962033/-335,BM-11039,Made in Spain,,,,,http://dealer.tucker.com/globalassets/images/41/4193/4193350/Zoomed.jpg,,,
BikeMaster Front/Rear Sintered Brake pads for Z650/ABS 2017,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",40.96,51.2,BikeMaster,BikeMaster,961400/-1331,BM-12035,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/95/9563/956320/Zoomed.jpg,,,
BikeMaster Rear Sintered Brake pads for GSX-R1100 1993-1998,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",40.96,51.2,BikeMaster,BikeMaster,961401/-1391,BM-12095,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/95/9563/956315/Zoomed.jpg,,,
BikeMaster Rear Sintered Brake pads for GSX-R600 1992-1993,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",40.96,51.2,BikeMaster,BikeMaster,961401/-1392,BM-12096,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/95/9563/956315/Zoomed.jpg,,,
BikeMaster Front Sintered Brake pads for GSX-R1100 1993-1998,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",43.94,54.93,BikeMaster,BikeMaster,961409/-1708,BM-12412,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/96/9604/960418/Zoomed.jpg,,,
BikeMaster Rear Sintered Brake pads for GS1000 1980-1982,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",39.47,49.33,BikeMaster,BikeMaster,961421/-1758,BM-12462,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/30/3041/3041781/Zoomed.jpg,,,
BikeMaster Rear Sintered Brake pads for R1150GS 1998-2001  ABS and Non-ABS models,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",40.96,51.2,BikeMaster,BikeMaster,961442/-2224,BM-12928,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/30/3034/3034638/Zoomed.jpg,,,
BikeMaster Front Sintered Brake pads for R1150GS 1998-2001   ABS and Non-ABS model,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",40.96,51.2,BikeMaster,BikeMaster,961435/-2290,BM-12994,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/30/3041/3041725/Zoomed.jpg,,,
BikeMaster Front Sintered Brake pads for GSX-R600 1992-1993,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",40.96,51.2,BikeMaster,BikeMaster,961450/-2573,BM-13277,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/30/3041/3041752/Zoomed.jpg,,,
BikeMaster Front Sintered Brake pads for GS1000 1980-1982,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.",39.47,49.33,BikeMaster,BikeMaster,961454/-2653,BM-13357,"Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",Sold as one pair,,,,http://dealer.tucker.com/globalassets/images/30/3034/3034693/Zoomed.jpg,,,
BikeMaster Rear Steel 42 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,47.53,59.42,BikeMaster,BikeMaster,965359/-1902,BM-4799,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 42;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8669/8669194/Zoomed.jpg,,
BikeMaster Rear Steel 44 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,48.28,60.35,BikeMaster,BikeMaster,965360/-1939,BM-4836,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 44;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8669/8669057/Zoomed.jpg,,
BikeMaster Rear Steel 45 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,48.28,60.35,BikeMaster,BikeMaster,965361/-1975,BM-4872,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 45;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/10/1003/10033916/Zoomed.jpg,,
BikeMaster Rear Steel 46 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,48.28,60.35,BikeMaster,BikeMaster,965362/-2011,BM-4908,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 46;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8668/8668882/Zoomed.jpg,,
BikeMaster Rear Steel 47 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,48.28,60.35,BikeMaster,BikeMaster,965363/-2047,BM-4944,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 47;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8668/8668793/Zoomed.jpg,,
BikeMaster Rear Steel 48 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,49.02,61.28,BikeMaster,BikeMaster,965364/-2083,BM-4980,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 48;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8668/8668705/Zoomed.jpg,,
BikeMaster Rear Steel 49 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,49.77,62.21,BikeMaster,BikeMaster,965365/-2119,BM-5016,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 49;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8669/8669123/Zoomed.jpg,,
BikeMaster Rear Steel 50 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,49.77,62.21,BikeMaster,BikeMaster,965366/-2155,BM-5052,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 50;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/99/9967/9967837/Zoomed.jpg,,
BikeMaster Rear Steel 52 Tooth Sprocket for GSX-R750 1993-1995,Meticulously engineered using the highest quality materials and industry leading technology to provide the best replacement sprockets for your motorcycle. BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish. A perfect match for the BikeMaster line of chains.,52.01,65.01,BikeMaster,BikeMaster,965367/-2191,BM-5088,O.E.M. Gearing 15/42;ChainLinks 530-108; Teeth 52;,BikeMaster Rear Sprockets are machined from 1045 steel and coated with a beautiful black Cataphoresis finish.,,,,http://midnightautos.com/wp-content/uploads/2018/11/Zoomed.png,http://dealer.tucker.com/globalassets/images/86/8668/8668950/Zoomed.jpg,,
BikeMaster Standard Front or Rear Brake Pads for GSX-R1100 1993-1998,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961101/-62,BM-62,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/96/9604/960446/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/96/9604/960446/Zoomed.jpg,,
BikeMaster Standard Front or Rear Brake Pads for GSX-R600 1992-1993,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961101/-63,BM-63,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/96/9604/960446/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/96/9604/960446/Zoomed.jpg,,
BikeMaster Standard Front or Rear Brake Pads for SuzukiGSX-R600 1997-2003,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961101/-82,BM-82,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/96/9604/960446/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/96/9604/960446/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for GSX-R1100 1993-1998  Two sets required.,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",37.97,47.47,BikeMaster,BikeMaster,961109/-390,BM-390,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/96/9604/960422/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/96/9604/960422/Zoomed.jpg,,
BikeMaster Standard Rear Brake Pads for GS1000 1980-1982,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.24,42.81,BikeMaster,BikeMaster,961121/-458,BM-458,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/13/1309/1309132/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/13/1309/1309132/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for SuzukiGSX-R600 1997-2003  Two sets required.,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961115/-550,BM-550,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/97/9782/978259/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/97/9782/978259/Zoomed.jpg,,
BikeMaster Standard Rear Brake Pads for SuzukiGSX-R600 2004-2005,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961124/-562,BM-562,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/97/9782/978277/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/97/9782/978277/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for Z650/ABS 2017  Two sets required.,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961122/-662,BM-662,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/97/9782/978262/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/97/9782/978262/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for R1150GS 1998-2001  Two sets required.; ABS and Non-ABS model,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",35.74,44.67,BikeMaster,BikeMaster,961135/-946,BM-946,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/30/3041/3041836/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/30/3041/3041836/Zoomed.jpg,,
BikeMaster Standard Rear Brake Pads for R1150GS 1998-2001  ABS and Non-ABS model,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961142/-978,BM-978,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/30/3034/3034691/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/30/3034/3034691/Zoomed.jpg,,
BikeMaster Standard Rear Brake Pads for SuzukiGSX-R600 2006-2010,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",37.23,46.53,BikeMaster,BikeMaster,961143/-1035,BM-1035,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/97/9782/978269/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/97/9782/978269/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for GSX-R600 1992-1993  Two sets required.,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961150/-1321,BM-1321,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/30/3041/3041823/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/30/3041/3041823/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for  GS1000 1980-1982  Two sets required.,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",34.99,43.74,BikeMaster,BikeMaster,961175/-1628,BM-1628,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/30/3034/3034646/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/30/3034/3034646/Zoomed.jpg,,
BikeMaster Standard Front Brake Pads for SuzukiGSX-R600 2004-2005  Two sets required.,"Designed for the highest quality and a perfect fit, BikeMaster Brake Pads and Shoes are intended to be a direct replacement for O.E.M. pads and shoes and meet or exceed O.E.M. performance.",39.47,49.33,BikeMaster,BikeMaster,961204/-1861,BM-1861,Brake Pads are formulated for high-performance stopping power and a long service life.,Brake Shoes come complete with new springs.,"Sintered Brake Pads are manufactured from special metallics and other compounds, which are fused together with high-heat and pressure.","Sintered Brake Pads offer increased performance, higher heat resistance and longer life than our everyday pads.",,http://dealer.tucker.com/globalassets/images/97/9721/972154/Zoomed.jpg,http://dealer.tucker.com/globalassets/images/97/9721/972154/Zoomed.jpg,,
